FNFNUM,GENUS,SPECIES,TAXON
274,Citrullus,lanatus,Citrullus lanatus
275,Citrus,aurantiifolia,Citrus aurantiifolia
1352,Citrus,aurantium,Citrus aurantium f. kabusu
276,Citrus,aurantium,Citrus aurantium
1140,Citrus,ichangensis,Citrus ichangensis
1142,Citrus,junos,Citrus junos
2156,Citrus,limetta,Citrus limetta
279,Citrus,limon,Citrus limon
280,Citrus,medica,Citrus medica
1141,Citrus,meyerii,Citrus meyerii
1222,Citrus,mitis,Citrus mitis
283,Citrus,paradisi,Citrus paradisi
281,Citrus,reticulata,Citrus reticulata
282,Citrus,sinensis,Citrus sinensis
1353,Citrus,sphaerocarpa,Citrus sphaerocarpa
1143,Citrus,spp,Citrus spp
1354,Citrus,sudachi,Citrus sudachi
1144,Citrus,unshiu,Citrus unshiu
1714,Claoxylon,polot,Claoxylon polot
5102,Cleistocalyx,fullageri,Cleistocalyx fullageri
284,Clematis,vitalba,Clematis vitalba
1988,Cleonia,lusitanica,Cleonia lusitanica
1491,Clerodendrum,inerme,Clerodendrum inerme
1492,Clinacanthus,nutans,Clinacanthus nutans
1355,Clinopodium,umbrosum,Clinopodium umbrosum
1493,Clinopodium,vulgare,Clinopodium vulgare
1861,Clitoria,falcata,Clitoria falcata
1862,Clitoria,ternatea,Clitoria ternatea
1715,Clusia,arboricida,Clusia arboricida
1192,Clusia,sp.,Clusia sp.
285,Cnicus,benedictus,Cnicus benedictus
286,Cnidium,officinale,Cnidium officinale
287,Cnidoscolus,chayamansa,Cnidoscolus chayamansa
1716,Coccoloba,excoriata,Coccoloba excoriata
288,Cocos,nucifera,Cocos nucifera
289,Coffea,arabica,Coffea arabica
290,Coix,lacryma-jobi,Coix lacryma-jobi
291,Cola,acuminata,Cola acuminata
292,Colchicum,autumnale,Colchicum autumnale
293,Coleus,barbatus,Coleus barbatus
295,Coleus,blumei,Coleus blumei
294,Coleus,forskohlii,Coleus forskohlii
1990,Coleus,ignarius,Coleus ignarius
296,Collinsonia,canadensis,Collinsonia canadensis
297,Colocasia,esculenta,Colocasia esculenta
1863,Cologana,broussonetii,Cologana broussonetii
1302,Colubrina,arborescens,Colubrina arborescens
1717,Colubrina,granulosa,Colubrina granulosa
1303,Colubrina,texensis,Colubrina texensis
1718,Combretum,imberbe,Combretum imberbe
1283,Commelina,benghalensis,Commelina benghalensis
1284,Commelina,communis,Commelina communis
2132,Commiphora,mukul,Commiphora mukul
298,Commiphora,myrrha,Commiphora myrrha
1494,Comptonia,peregrina,Comptonia peregrina
299,Conium,maculatum,Conium maculatum
300,Consolida,ajacis,Consolida ajacis
301,Convallaria,majalis,Convallaria majalis
302,Conyza,canadensis,Conyza canadensis
303,Copaifera,spp,Copaifera spp
304,Coptis,chinensis,Coptis chinensis
305,Coptis,japonica,Coptis japonica
306,Coptis,spp,Coptis spp
307,Corchorus,olitorius,Corchorus olitorius
308,Coriandrum,sativum,Coriandrum sativum
309,Coriaria,myrtifolia,Coriaria myrtifolia
310,Coriaria,thymifolia,Coriaria thymifolia
1991,Coridothymus,capitatus,Coridothymus capitatus
1495,Cornus,capitata,Cornus capitata
311,Cornus,florida,Cornus florida
1719,Cornus,macrophylla,Cornus macrophylla
312,Cornus,officinalis,Cornus officinalis
313,Corydalis,spp,Corydalis spp
314,Corylus,avellana,Corylus avellana
1720,Cotylelobium,scabriusculum,Cotylelobium scabriusculum
1356,Coutarea,latiflora,Coutarea latiflora
315,Crataegus,cuneata,Crataegus cuneata
316,Crataegus,laevigata,Crataegus laevigata
